,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2021/12  (IFRS연결),2022/12  (IFRS연결),2023/12  (IFRS연결),2024/12  (IFRS연결),2025/12  (IFRS연결),2026/12(E)  (IFRS연결),2027/12(E)  (IFRS연결),2028/12(E)  (IFRS연결)
0,매출액,2796048.0,3022314.0,2589355.0,3008709.0,3336059.0,6840691.0,8172433.0,8272455.0
1,영업이익,516339.0,433766.0,65670.0,327260.0,436011.0,,,
2,영업이익(발표기준),516339.0,433766.0,65670.0,327260.0,436011.0,3515163.0,4437526.0,4236223.0
3,세전계속사업이익,533518.0,464405.0,110063.0,375297.0,494815.0,3505345.0,4387087.0,4394225.0
4,당기순이익,399074.0,556541.0,154871.0,344514.0,452068.0,2866377.0,3549849.0,3608619.0
5,당기순이익(지배),392438.0,547300.0,144734.0,336214.0,442610.0,2866003.0,3586827.0,3555998.0
6,당기순이익(비지배),6637.0,9241.0,10137.0,8300.0,9458.0,,,
7,자산총계,4266212.0,4484245.0,4559060.0,5145319.0,5669421.0,8872282.0,12285603.0,15545834.0
8,부채총계,1217212.0,936749.0,922281.0,1123399.0,1306218.0,1835159.0,1980397.0,2038483.0
9,자본총계,3048999.0,3547496.0,3636779.0,4021921.0,4363203.0,7037123.0,10305205.0,13507350.0
10,자본총계(지배),2962377.0,3451861.0,3532338.0,3916876.0,4243133.0,6862437.0,10111427.0,13468669.0
11,자본총계(비지배),86622.0,95635.0,104441.0,105045.0,120071.0,,,
12,자본금,8975.0,8975.0,8975.0,8975.0,8975.0,8972.0,8972.0,8969.0
13,영업활동현금흐름,651054.0,621813.0,441374.0,729826.0,853151.0,2943198.0,3733203.0,3881063.0
14,투자활동현금흐름,-330478.0,-316028.0,-169228.0,-853817.0,-685122.0,-1139923.0,-1031250.0,-1040692.0
15,재무활동현금흐름,-239910.0,-193900.0,-85931.0,-77972.0,-134780.0,-121561.0,-278444.0,-269093.0
16,CAPEX,471221.0,494304.0,576113.0,514064.0,475222.0,676947.0,712844.0,661765.0
17,FCF,179833.0,127509.0,-134739.0,215763.0,377930.0,2251946.0,2823588.0,2806503.0
18,이자발생부채,183921.0,103332.0,126859.0,193302.0,252391.0,,,
19,영업이익률,18.47,14.35,2.54,10.88,13.07,51.39,54.3,51.21
20,순이익률,14.27,18.41,5.98,11.45,13.55,41.9,43.44,43.62
21,ROE(%),13.92,17.07,4.15,9.03,10.85,51.61,42.26,30.16
22,ROA(%),9.92,12.72,3.43,7.1,8.36,39.42,33.56,25.93
23,부채비율,39.92,26.41,25.36,27.93,29.94,26.08,19.22,15.09
24,자본유보율,33143.62,38144.29,39114.28,41772.84,45296.17,,,
25,EPS(원),5777.0,8057.0,2131.0,4950.0,6564.0,42966.0,53948.0,53485.0
26,PER(배),13.55,6.86,36.84,10.75,18.27,6.81,5.42,5.47
27,BPS(원),43611.0,50817.0,52002.0,57981.0,63997.0,104506.0,153984.0,205110.0
28,PBR(배),1.8,1.09,1.51,0.92,1.87,2.8,1.9,1.43
29,현금DPS(원),1444.0,1444.0,1444.0,1446.0,1668.0,5025.0,3464.0,4323.0
30,현금배당수익률,1.84,2.61,1.84,2.72,1.39,1.72,1.18,1.48
31,현금배당성향(%),25.0,17.92,67.78,29.18,25.1,10.25,5.65,7.11
32,발행주식수(보통주),5969782550.0,5969782550.0,5969782550.0,5969782550.0,5919637922.0,,,
